
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
0.3,37.50,37.50,0.00
1.3,37.50,37.50,0.00
2.3,37.50,37.75,-0.25
3.3,37.25,37.75,-0.50
4.3,36.75,37.75,-1.00
5.3,36.75,37.50,-0.75
6.3,37.50,37.75,-0.25
7.3,37.00,37.50,-0.50
8.3,36.75,37.25,-0.50
9.3,37.00,37.50,-0.50
10.3,37.25,37.50,-0.25
11.3,37.25,37.50,-0.25
12.3,37.00,37.75,-0.75
13.3,37.25,37.25,0.00
14.3,37.25,37.50,-0.25
15.3,37.25,37.50,-0.25
16.3,37.25,37.00,0.25
17.3,36.75,37.50,-0.75
18.3,37.00,37.50,-0.50
19.3,36.75,37.75,-1.00
20.3,37.25,37.25,0.00
21.3,36.75,37.75,-1.00
22.3,37.25,37.25,0.00
23.3,37.25,37.50,-0.25
24.3,37.25,37.25,0.00
25.3,37.00,37.25,-0.25
26.3,37.25,37.25,0.00
27.3,37.25,37.50,-0.25
28.3,36.50,37.00,-0.50
29.3,36.50,37.25,-0.75
30.3,37.25,37.75,-0.50
31.3,37.25,37.50,-0.25
32.3,37.00,37.25,-0.25
33.3,36.75,37.50,-0.75
34.3,36.75,37.00,-0.25
35.3,36.75,37.25,-0.50
36.3,36.50,37.00,-0.50
37.3,37.25,37.50,-0.25
38.3,37.00,37.25,-0.25
39.4,37.25,37.25,0.00
40.4,37.00,37.50,-0.50
41.4,36.75,37.50,-0.75
42.4,37.25,37.25,0.00
43.4,37.00,37.75,-0.75
44.4,37.00,37.75,-0.75
45.4,36.75,37.25,-0.50
46.4,36.75,37.50,-0.75
47.4,37.25,37.25,0.00
48.4,37.25,37.25,0.00
49.4,36.75,37.25,-0.50
50.4,36.75,37.25,-0.50
51.4,36.50,37.00,-0.50
52.4,37.25,37.50,-0.25
53.4,37.25,37.25,0.00
54.4,37.25,37.50,-0.25
55.4,36.75,37.50,-0.75
56.4,37.00,37.75,-0.75
57.4,37.25,37.75,-0.50
58.4,36.50,37.25,-0.75
59.4,36.75,37.50,-0.75
60.4,37.00,37.00,0.00
61.4,37.00,36.25,0.75
62.4,36.75,36.50,0.25
63.4,36.50,36.00,0.50
64.4,37.00,36.25,0.75
65.4,37.00,36.25,0.75
66.4,37.00,36.25,0.75
67.4,36.50,36.50,0.00
68.4,37.00,36.50,0.50
69.4,37.25,36.50,0.75
70.4,37.00,36.75,0.25
71.4,36.75,36.25,0.50
72.4,36.75,36.50,0.25
73.4,36.75,36.25,0.50
74.4,36.75,36.25,0.50
75.4,36.75,36.25,0.50
76.4,36.75,36.00,0.75
77.5,36.25,36.50,-0.25
78.5,36.75,36.00,0.75
79.5,37.00,36.00,1.00
80.5,36.50,36.00,0.50
81.5,36.75,36.50,0.25
82.5,36.75,36.00,0.75
83.5,36.75,36.50,0.25
84.5,36.50,36.25,0.25
85.5,36.75,36.25,0.50
86.5,36.50,36.00,0.50
87.5,37.00,35.75,1.25
88.5,37.00,36.00,1.00
89.5,37.00,35.50,1.50
90.5,36.75,35.50,1.25
91.5,36.75,36.00,0.75
92.5,36.50,36.50,0.00
93.5,37.00,36.25,0.75
94.5,37.25,36.50,0.75
95.5,36.75,36.50,0.25
96.5,36.75,36.25,0.50
97.5,36.50,36.50,0.00
98.5,37.00,36.25,0.75
99.5,37.25,35.75,1.50
100.5,37.25,36.00,1.25
101.5,37.00,36.00,1.00
102.5,36.50,36.50,0.00
103.5,36.75,36.00,0.75
104.5,37.00,35.75,1.25
105.5,36.50,36.50,0.00
106.5,37.25,36.00,1.25
107.5,37.25,35.50,1.75
108.5,37.50,36.25,1.25
109.5,37.00,36.50,0.50
110.5,37.25,36.25,1.00
111.5,37.25,36.25,1.00
112.5,37.50,35.50,2.00
113.5,37.25,36.00,1.25
114.5,37.00,36.25,0.75
115.6,37.25,36.00,1.25
116.6,37.25,36.50,0.75
117.6,37.50,36.00,1.50
118.6,37.50,36.25,1.25
119.6,37.25,36.25,1.00
120.6,37.50,36.50,1.00
121.6,37.25,36.50,0.75
122.6,37.25,36.00,1.25
123.6,37.75,36.25,1.50
124.6,37.75,36.25,1.50
125.6,37.75,36.00,1.75
126.6,38.00,36.50,1.50
127.6,38.00,36.00,2.00
128.6,37.50,36.50,1.00
129.6,37.50,36.25,1.25
130.6,38.00,36.50,1.50
131.6,38.00,36.25,1.75
132.6,38.00,36.25,1.75
133.6,38.25,36.25,2.00
134.6,38.25,36.50,1.75
135.6,37.75,36.00,1.75
136.6,38.00,36.00,2.00
137.6,38.75,36.25,2.50
138.6,38.50,36.25,2.25
139.6,38.25,36.50,1.75
140.6,38.50,36.50,2.00
141.6,38.50,36.00,2.50
142.6,38.50,36.25,2.25
143.6,38.75,36.50,2.25
144.6,38.25,36.75,1.50
145.6,38.25,36.00,2.25
146.6,38.75,36.25,2.50
147.6,38.75,36.25,2.50
148.6,39.25,36.25,3.00
149.6,38.75,36.25,2.50
150.6,38.50,36.00,2.50
151.6,39.00,36.50,2.50
152.6,39.00,36.00,3.00
153.7,39.00,36.25,2.75
154.7,39.25,36.00,3.25
155.7,39.25,36.50,2.75
156.7,39.00,36.25,2.75
157.7,38.75,36.50,2.25
158.7,39.50,36.00,3.50
159.7,39.25,36.50,2.75
160.7,39.75,36.25,3.50
161.7,39.00,36.50,2.50
162.7,39.50,36.00,3.50
163.7,39.50,36.50,3.00
164.7,39.75,36.50,3.25
165.7,39.00,35.75,3.25
166.7,40.00,36.50,3.50
167.7,40.25,36.50,3.75
168.7,40.00,36.50,3.50
169.7,40.25,36.25,4.00
170.7,40.25,36.25,4.00
171.7,40.25,36.25,4.00
172.7,40.00,36.25,3.75
173.7,40.00,36.00,4.00
174.7,40.25,36.25,4.00
175.7,40.25,36.25,4.00
176.7,40.00,36.25,3.75
177.7,40.50,36.25,4.25
178.7,40.50,36.25,4.25
179.7,40.25,36.25,4.00
180.7,40.75,36.75,4.00
181.7,40.75,36.00,4.75
182.7,40.25,36.50,3.75
183.7,40.75,36.75,4.00
184.7,41.00,36.25,4.75
185.7,40.75,36.50,4.25
186.7,41.00,36.00,5.00
187.7,41.25,36.50,4.75
188.7,41.25,36.50,4.75
189.7,41.25,36.50,4.75
190.8,41.00,36.50,4.50
191.8,41.00,36.50,4.50
192.8,41.25,36.00,5.25
193.8,41.50,36.00,5.50
194.8,41.25,36.50,4.75
195.8,41.50,37.00,4.50
196.8,41.25,36.50,4.75
197.8,41.50,36.50,5.00
198.8,41.50,37.00,4.50
199.8,41.75,36.75,5.00
200.8,42.00,36.75,5.25
201.8,41.50,36.50,5.00
202.8,41.75,36.25,5.50
203.8,41.75,36.25,5.50
204.8,42.00,36.75,5.25
205.8,42.25,36.75,5.50
206.8,41.75,36.25,5.50
207.8,42.00,36.75,5.25
208.8,42.50,36.75,5.75
209.8,42.00,36.75,5.25
210.8,41.75,36.25,5.50
211.8,42.50,36.50,6.00
212.8,42.50,36.50,6.00
213.8,42.00,36.75,5.25
214.8,42.75,36.75,6.00
215.8,42.75,36.75,6.00
216.8,42.00,36.75,5.25
217.8,42.50,36.75,5.75
218.8,42.50,36.50,6.00
219.8,42.75,36.75,6.00
220.8,42.75,36.75,6.00
221.8,43.00,36.50,6.50
222.8,42.50,37.00,5.50
223.8,42.75,36.75,6.00
224.8,43.25,36.75,6.50
225.8,43.25,36.75,6.50
226.8,43.00,36.75,6.25
227.8,43.50,37.00,6.50
228.9,43.50,37.00,6.50
229.9,43.50,36.50,7.00
230.9,43.75,37.25,6.50
231.9,43.50,37.25,6.25
232.9,43.75,36.75,7.00
233.9,43.75,37.00,6.75
234.9,43.25,37.25,6.00
235.9,43.75,36.75,7.00
236.9,43.50,36.75,6.75
237.9,43.50,36.50,7.00
238.9,44.00,37.00,7.00
239.9,43.75,37.00,6.75
240.9,43.75,37.00,6.75
241.9,44.25,37.00,7.25
242.9,44.00,37.00,7.00
243.9,44.25,37.00,7.25
244.9,44.00,36.50,7.50
245.9,44.25,37.00,7.25
246.9,44.00,36.50,7.50
247.9,44.50,37.00,7.50
248.9,44.50,37.25,7.25
249.9,44.00,36.50,7.50
250.9,44.50,37.00,7.50
251.9,44.25,36.50,7.75
252.9,43.75,37.00,6.75
253.9,44.50,37.00,7.50
254.9,44.75,37.25,7.50
255.9,45.00,37.00,8.00
256.9,45.00,37.25,7.75
257.9,44.50,37.00,7.50
258.9,44.75,36.75,8.00
259.9,44.75,37.00,7.75
260.9,45.00,37.25,7.75
261.9,44.50,37.25,7.25
262.9,45.25,37.25,8.00
263.9,45.25,37.25,8.00
264.9,45.50,37.25,8.25
265.9,44.75,37.00,7.75
267.0,45.00,36.75,8.25
268.0,44.75,37.25,7.50
269.0,45.25,37.25,8.00
270.0,45.75,37.25,8.50
271.0,45.75,37.00,8.75
272.0,45.25,37.25,8.00
273.0,45.50,37.25,8.25
274.0,46.00,37.25,8.75
275.0,46.00,37.25,8.75
276.0,45.75,37.75,8.00
277.0,45.75,37.25,8.50
278.0,45.50,37.25,8.25
279.0,45.75,37.50,8.25
280.0,46.25,37.50,8.75
281.0,45.50,37.50,8.00
282.0,46.25,37.25,9.00
283.0,45.75,37.50,8.25
284.0,45.75,37.25,8.50
285.0,46.00,37.25,8.75
286.0,46.25,37.50,8.75
287.0,46.25,37.50,8.75
288.0,46.00,37.50,8.50
289.0,46.75,37.75,9.00
290.0,46.25,37.50,8.75
291.0,46.50,37.25,9.25
292.0,46.50,37.50,9.00
293.0,46.75,37.50,9.25
294.0,47.00,37.50,9.50
295.0,47.00,37.75,9.25
296.0,47.00,37.25,9.75
297.0,47.00,37.50,9.50
298.0,46.75,37.75,9.00
299.0,46.50,37.75,8.75
300.0,46.75,38.00,8.75
301.0,46.50,38.00,8.50
302.0,47.50,38.00,9.50
303.0,47.25,37.75,9.50
304.0,47.25,37.75,9.50
305.1,47.00,37.75,9.25
306.1,47.25,37.50,9.75
307.1,47.00,37.75,9.25
308.1,47.50,37.50,10.00
309.1,47.50,37.75,9.75
310.1,47.50,37.75,9.75
311.1,47.25,38.25,9.00
312.1,47.50,37.75,9.75
313.1,47.50,38.00,9.50
314.1,47.75,37.75,10.00
315.1,47.75,38.00,9.75
316.1,47.75,38.00,9.75
317.1,47.50,38.00,9.50
318.1,48.00,38.00,10.00
319.1,48.00,38.25,9.75
320.1,47.25,38.00,9.25
321.1,47.75,38.50,9.25
322.1,48.25,37.50,10.75
323.1,48.25,38.25,10.00
324.1,48.25,37.75,10.50
325.1,48.25,38.00,10.25
326.1,48.25,38.00,10.25
327.1,48.00,38.50,9.50
328.1,48.50,37.75,10.75
329.1,48.50,37.75,10.75
330.1,48.75,38.50,10.25
331.1,48.50,38.50,10.00
