□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
0.3,38.00,38.00,0.00
1.3,38.00,38.25,-0.25
2.3,38.00,38.25,-0.25
3.3,38.00,38.00,0.00
4.3,37.50,38.50,-1.00
5.3,38.00,38.50,-0.50
6.3,37.50,38.25,-0.75
7.3,38.00,38.25,-0.25
8.3,38.00,38.00,0.00
9.3,38.25,38.25,0.00
10.3,38.00,38.25,-0.25
11.3,37.75,38.25,-0.50
12.3,37.75,38.25,-0.50
13.3,38.00,38.75,-0.75
14.3,38.00,37.75,0.25
15.3,37.50,38.25,-0.75
16.3,38.00,38.25,-0.25
17.3,38.00,38.25,-0.25
18.3,38.25,38.50,-0.25
19.3,38.00,38.25,-0.25
20.3,38.00,38.25,-0.25
21.3,37.50,38.25,-0.75
22.3,38.00,38.25,-0.25
23.3,38.00,38.00,0.00
24.3,38.00,38.00,0.00
25.3,38.00,38.50,-0.50
26.3,38.00,38.50,-0.50
27.3,38.00,38.25,-0.25
28.3,38.00,38.50,-0.50
29.3,38.00,38.25,-0.25
30.3,37.75,37.75,0.00
31.3,38.00,38.25,-0.25
32.3,38.00,37.75,0.25
33.3,38.00,38.25,-0.25
34.3,38.00,38.25,-0.25
35.3,37.50,38.50,-1.00
36.3,38.00,38.00,0.00
37.3,37.75,38.00,-0.25
38.3,38.00,38.50,-0.50
39.4,38.25,38.00,0.25
40.4,38.00,38.25,-0.25
41.4,38.00,37.75,0.25
42.4,38.25,38.25,0.00
43.4,38.00,38.25,-0.25
44.4,38.00,38.25,-0.25
45.4,38.25,38.25,0.00
46.4,38.25,38.25,0.00
47.4,38.00,38.50,-0.50
48.4,38.00,38.50,-0.50
49.4,38.00,38.50,-0.50
50.4,38.00,38.75,-0.75
51.4,38.00,38.25,-0.25
52.4,37.75,38.25,-0.50
53.4,38.25,38.00,0.25
54.4,37.75,38.75,-1.00
55.4,38.00,38.25,-0.25
56.4,38.00,38.25,-0.25
57.4,38.00,38.25,-0.25
58.4,38.00,38.00,0.00
59.4,37.75,38.25,-0.50
60.4,37.75,38.50,-0.75
61.4,38.00,38.25,-0.25
62.4,38.00,38.25,-0.25
63.4,37.75,38.50,-0.75
64.4,37.75,38.75,-1.00
65.4,38.25,38.25,0.00
66.4,38.00,38.00,0.00
67.4,37.75,37.75,0.00
68.4,37.75,38.00,-0.25
69.4,37.75,37.50,0.25
70.4,38.00,38.25,-0.25
71.4,38.00,37.75,0.25
72.4,38.00,37.75,0.25
73.4,38.00,38.00,0.00
74.4,37.75,37.75,0.00
75.4,37.75,37.75,0.00
76.4,38.00,38.25,-0.25
77.5,38.00,37.50,0.50
78.5,38.00,38.25,-0.25
79.5,38.00,38.00,0.00
80.5,37.75,37.75,0.00
81.5,37.75,37.75,0.00
82.5,38.25,38.00,0.25
83.5,38.00,37.50,0.50
84.5,37.75,37.75,0.00
85.5,37.50,37.75,-0.25
86.5,37.75,37.75,0.00
87.5,37.75,38.00,-0.25
88.5,37.75,38.00,-0.25
89.5,37.75,37.75,0.00
90.5,38.00,37.75,0.25
91.5,38.00,38.00,0.00
92.5,38.00,38.00,0.00
93.5,38.00,38.00,0.00
94.5,38.50,38.00,0.50
95.5,37.75,38.25,-0.50
96.5,38.50,37.75,0.75
97.5,38.25,38.00,0.25
98.5,38.25,37.75,0.50
99.5,38.00,38.00,0.00
100.5,38.25,38.25,0.00
101.5,37.75,38.25,-0.50
102.5,38.00,38.25,-0.25
103.5,38.25,37.75,0.50
104.5,38.25,38.00,0.25
105.5,38.25,38.25,0.00
106.5,38.50,38.25,0.25
107.5,38.50,37.75,0.75
108.5,38.50,38.25,0.25
109.5,38.50,37.75,0.75
110.5,38.25,38.25,0.00
111.5,38.25,38.00,0.25
112.5,38.50,37.50,1.00
113.5,38.25,37.50,0.75
114.5,38.50,38.25,0.25
115.6,38.50,37.75,0.75
116.6,38.25,38.00,0.25
117.6,38.25,38.25,0.00
118.6,38.75,38.00,0.75
119.6,38.75,37.75,1.00
120.6,39.00,38.25,0.75
121.6,38.75,38.00,0.75
122.6,39.00,37.50,1.50
123.6,39.00,38.00,1.00
124.6,39.25,38.00,1.25
125.6,39.00,38.25,0.75
126.6,39.25,38.00,1.25
127.6,39.25,37.75,1.50
128.6,39.25,38.25,1.00
129.6,39.75,38.00,1.75
