□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
0.3,36.50,36.50,0.00
1.3,36.50,36.75,-0.25
2.3,36.75,36.75,0.00
3.3,36.50,36.75,-0.25
4.3,36.00,36.75,-0.75
5.3,36.25,37.00,-0.75
6.3,36.00,36.25,-0.25
7.3,36.00,36.75,-0.75
8.3,36.50,36.75,-0.25
9.3,36.50,36.50,0.00
10.3,36.50,36.50,0.00
11.3,36.50,36.75,-0.25
12.3,36.25,36.75,-0.50
13.3,36.25,37.00,-0.75
14.3,36.50,37.00,-0.50
15.3,36.25,36.75,-0.50
16.3,36.25,36.50,-0.25
17.3,36.00,36.75,-0.75
18.3,36.25,36.25,0.00
19.3,36.50,36.00,0.50
20.3,35.75,37.00,-1.25
21.3,36.00,36.75,-0.75
22.3,36.50,36.75,-0.25
23.3,36.50,36.75,-0.25
24.3,36.00,36.75,-0.75
25.3,36.25,37.00,-0.75
26.3,36.00,36.75,-0.75
27.3,36.00,36.50,-0.50
28.3,36.25,36.75,-0.50
29.3,36.00,36.75,-0.75
30.3,36.25,36.50,-0.25
31.3,36.50,36.75,-0.25
32.3,36.00,37.00,-1.00
33.3,36.50,36.75,-0.25
34.3,36.25,36.75,-0.50
35.3,36.25,36.75,-0.50
36.3,36.50,36.75,-0.25
37.3,36.25,36.50,-0.25
38.3,36.25,36.50,-0.25
39.4,36.00,36.50,-0.50
40.4,36.00,36.50,-0.50
41.4,36.25,36.75,-0.50
42.4,36.25,36.75,-0.50
43.4,36.50,36.75,-0.25
44.4,36.50,36.00,0.50
45.4,36.00,36.75,-0.75
46.4,35.75,36.50,-0.75
47.4,36.25,36.75,-0.50
48.4,36.25,36.50,-0.25
49.4,36.00,35.50,0.50
50.4,36.00,35.75,0.25
51.4,36.00,35.25,0.75
52.4,36.25,35.50,0.75
53.4,36.00,35.50,0.50
54.4,36.00,35.50,0.50
55.4,36.00,35.25,0.75
56.4,36.00,35.50,0.50
57.4,35.75,35.25,0.50
58.4,36.00,35.25,0.75
59.4,36.25,35.25,1.00
60.4,36.00,35.50,0.50
61.4,35.50,34.75,0.75
62.4,36.00,35.50,0.50
63.4,36.00,35.75,0.25
64.4,36.00,36.25,-0.25
65.4,35.50,35.75,-0.25
66.4,36.00,36.50,-0.50
67.4,36.25,35.25,1.00
68.4,35.50,35.50,0.00
69.4,36.25,35.25,1.00
70.4,36.00,35.75,0.25
71.4,36.00,36.25,-0.25
72.4,36.00,36.50,-0.50
73.4,35.50,36.50,-1.00
74.4,35.00,36.25,-1.25
75.4,36.25,35.50,0.75
76.4,36.25,35.25,1.00
77.5,35.50,35.25,0.25
78.5,36.25,35.75,0.50
79.5,36.25,34.75,1.50
80.5,36.50,35.50,1.00
81.5,36.25,36.00,0.25
82.5,36.50,35.75,0.75
83.5,36.25,35.75,0.50
84.5,36.50,35.50,1.00
85.5,36.25,35.50,0.75
86.5,36.25,35.00,1.25
87.5,36.50,35.75,0.75
88.5,36.50,35.00,1.50
89.5,36.25,35.75,0.50
90.5,36.75,35.25,1.50
91.5,36.00,35.50,0.50
92.5,36.50,35.50,1.00
93.5,36.75,35.50,1.25
94.5,36.25,35.50,0.75
95.5,36.50,35.50,1.00
96.5,36.00,35.50,0.50
97.5,36.50,35.00,1.50
98.5,36.75,35.75,1.00
99.5,36.50,35.50,1.00
100.5,37.00,35.00,2.00
101.5,36.25,36.25,0.00
102.5,36.75,36.00,0.75
103.5,37.00,36.50,0.50
104.5,36.75,36.25,0.50
105.5,36.50,36.25,0.25
106.5,36.75,36.00,0.75
107.5,36.50,36.50,0.00
108.5,37.00,36.00,1.00
109.5,36.50,36.75,-0.25
110.5,37.00,36.50,0.50
111.5,37.00,36.50,0.50
112.5,37.25,36.50,0.75
113.5,37.25,36.50,0.75
114.5,37.25,36.50,0.75
115.6,37.50,36.75,0.75
116.6,37.25,37.00,0.25
117.6,37.50,36.25,1.25
118.6,37.25,36.50,0.75
119.6,37.00,36.25,0.75
120.6,37.00,36.75,0.25
121.6,37.00,37.00,0.00
122.6,37.25,36.25,1.00
123.6,37.75,37.00,0.75
124.6,37.25,37.00,0.25
125.6,37.25,37.25,0.00
126.6,37.50,37.25,0.25
127.6,37.75,36.75,1.00
128.6,37.75,37.00,0.75
129.6,37.50,36.50,1.00
130.6,38.00,37.25,0.75
131.6,37.75,37.25,0.50
132.6,38.00,36.75,1.25
133.6,38.00,37.25,0.75
134.6,37.50,37.25,0.25
135.6,38.50,36.75,1.75
136.6,38.00,37.25,0.75
137.6,38.25,37.00,1.25
138.6,37.75,37.50,0.25
139.6,38.25,37.50,0.75
140.6,38.50,37.25,1.25
141.6,37.75,37.00,0.75
142.6,38.00,37.50,0.50
143.6,38.00,37.25,0.75
144.6,38.50,37.25,1.25
145.6,37.75,37.00,0.75
146.6,38.25,37.75,0.50
147.6,38.50,37.75,0.75
148.6,38.75,37.75,1.00
149.6,38.50,37.25,1.25
150.6,39.00,37.25,1.75
151.6,38.50,37.50,1.00
152.6,39.00,37.75,1.25
153.7,39.00,38.00,1.00
154.7,39.00,38.00,1.00
155.7,39.25,38.00,1.25
156.7,38.50,37.75,0.75
157.7,38.75,38.00,0.75
158.7,39.00,37.25,1.75
159.7,39.25,37.75,1.50
160.7,38.75,38.00,0.75
161.7,39.00,38.25,0.75
162.7,39.50,38.25,1.25
163.7,39.50,38.00,1.50
164.7,39.50,38.25,1.25
