□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□
# BTSB bench test - dual thermocouple log
# TC1 = HOT plate, TC2 = COLD plate, temps in deg C
# Hard limit 120 C on TC1 - cut power if ALARM appears
time_s,T1_hot_C,T2_cold_C,delta_C
0.3,36.50,37.50,-1.00
1.3,37.00,37.50,-0.50
2.3,37.00,37.25,-0.25
3.3,36.75,37.50,-0.75
4.3,37.25,37.00,0.25
5.3,36.75,37.50,-0.75
6.3,37.25,37.50,-0.25
7.3,37.00,37.25,-0.25
8.3,37.00,37.00,0.00
9.3,37.00,37.25,-0.25
10.3,37.00,36.75,0.25
11.3,37.00,37.75,-0.75
12.3,37.25,37.50,-0.25
13.3,37.25,37.75,-0.50
14.3,37.00,37.50,-0.50
15.3,37.00,37.50,-0.50
16.3,37.25,37.50,-0.25
17.3,36.75,37.75,-1.00
18.3,37.00,37.50,-0.50
19.3,37.00,37.50,-0.50
20.3,37.00,37.25,-0.25
21.3,36.50,37.25,-0.75
22.3,36.25,37.50,-1.25
23.3,36.25,37.50,-1.25
24.3,37.25,37.25,0.00
25.3,36.75,37.50,-0.75
26.3,37.00,37.00,0.00
27.3,36.75,37.00,-0.25
28.3,37.00,37.75,-0.75
29.3,37.25,37.00,0.25
30.3,36.75,37.25,-0.50
31.3,37.00,37.25,-0.25
32.3,37.00,37.50,-0.50
33.3,36.50,37.75,-1.25
34.3,37.00,37.00,0.00
35.3,37.25,37.25,0.00
36.3,37.00,37.25,-0.25
37.3,37.00,37.50,-0.50
38.3,37.00,37.75,-0.75
39.4,37.25,37.75,-0.50
40.4,36.50,37.25,-0.75
41.4,37.25,37.25,0.00
42.4,36.25,37.50,-1.25
43.4,37.25,37.25,0.00
44.4,36.75,37.75,-1.00
45.4,36.75,37.75,-1.00
46.4,37.00,37.50,-0.50
47.4,36.75,37.25,-0.50
48.4,37.00,37.50,-0.50
49.4,37.00,37.50,-0.50
50.4,36.75,37.25,-0.50
51.4,37.25,37.75,-0.50
52.4,37.00,37.00,0.00
53.4,36.75,37.75,-1.00
54.4,36.75,37.50,-0.75
55.4,37.00,37.75,-0.75
56.4,36.25,37.75,-1.50
57.4,36.75,37.00,-0.25
58.4,37.00,37.00,0.00
59.4,36.50,37.50,-1.00
60.4,36.75,37.50,-0.75
61.4,36.75,37.25,-0.50
62.4,37.00,37.00,0.00
63.4,36.75,37.25,-0.50
64.4,36.75,37.75,-1.00
65.4,36.75,37.75,-1.00
66.4,36.50,37.50,-1.00
67.4,36.75,37.50,-0.75
68.4,36.75,37.50,-0.75
69.4,36.50,37.25,-0.75
70.4,36.75,37.75,-1.00
71.4,37.00,37.75,-0.75
72.4,37.00,37.50,-0.50
73.4,36.75,37.00,-0.25
74.4,36.25,37.50,-1.25
75.4,36.50,37.25,-0.75
76.4,36.50,37.25,-0.75
77.5,37.00,37.50,-0.50
78.5,36.50,37.00,-0.50
79.5,37.25,37.00,0.25
80.5,36.75,37.25,-0.50
81.5,36.75,37.00,-0.25
82.5,36.75,37.75,-1.00
83.5,37.00,36.75,0.25
84.5,36.25,37.50,-1.25
85.5,36.75,37.25,-0.50
86.5,37.25,37.75,-0.50
87.5,36.50,37.00,-0.50
88.5,37.00,37.75,-0.75
89.5,36.75,37.50,-0.75
90.5,36.50,37.00,-0.50
91.5,37.00,37.00,0.00
92.5,37.00,36.75,0.25
93.5,36.75,36.50,0.25
94.5,37.00,36.25,0.75
95.5,37.00,36.50,0.50
96.5,36.50,36.25,0.25
97.5,36.50,35.75,0.75
98.5,36.25,36.25,0.00
99.5,37.00,36.25,0.75
100.5,36.25,36.00,0.25
101.5,36.75,36.50,0.25
102.5,36.75,36.25,0.50
103.5,37.00,36.00,1.00
104.5,37.00,36.25,0.75
105.5,36.25,36.50,-0.25
106.5,36.25,36.00,0.25
107.5,36.75,36.75,0.00
108.5,36.75,36.50,0.25
109.5,36.75,36.75,0.00
110.5,36.50,36.25,0.25
111.5,36.50,36.50,0.00
112.5,37.00,36.75,0.25
113.5,36.75,35.75,1.00
114.5,36.75,36.75,0.00
115.6,37.00,36.25,0.75
116.6,36.75,36.50,0.25
117.6,36.75,36.00,0.75
118.6,37.00,36.25,0.75
119.6,36.50,36.25,0.25
120.6,36.50,36.50,0.00
121.6,36.75,36.50,0.25
122.6,37.00,36.25,0.75
123.6,36.50,36.25,0.25
124.6,36.75,36.25,0.50
125.6,36.50,36.25,0.25
126.6,36.75,36.50,0.25
127.6,36.75,36.25,0.50
128.6,36.75,36.25,0.50
